gameId,Date,Season,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,HTGD,ATGD,DiffPts,DiffFormPts,f_cornersAgainstHome,f_cornersForHome,f_freesAgainstHome,f_freesForHome,f_goalsAgainstHome,f_goalsForHome,f_halfTimeGoalsAgainstHome,f_halfTimeGoalsForHome,f_redsAgainstHome,f_redsForHome,f_shotsAgainstHome,f_shotsForHome,f_shotsOnTargetAgainstHome,f_shotsOnTargetForHome,f_yellowsAgainstHome,f_yellowsForHome,f_cornersAgainstAway,f_cornersForAway,f_freesAgainstAway,f_freesForAway,f_goalsAgainstAway,f_goalsForAway,f_halfTimeGoalsAgainstAway,f_halfTimeGoalsForAway,f_redsAgainstAway,f_redsForAway,f_shotsAgainstAway,f_shotsForAway,f_shotsOnTargetAgainstAway,f_shotsOnTargetForAway,f_yellowsAgainstAway,f_yellowsForAway
22,2016-09-10,1617,Palermo,Napoli,A,9.0,5.0,1.33,-1.3333333333333333,1.6666666666666667,-1.0,-1.0,1.803986710963455,6.803986710963455,13.983388704318935,15.92358803986711,1.4019933554817277,1.7940199335548177,0.3289036544850499,0.0,0.0,0.4019933554817276,9.116279069767442,18.67441860465116,4.205980066445183,6.255813953488372,1.4651162790697674,2.538205980066445,2.9509900990099007,6.663861386138614,11.19257425742574,10.543316831683166,1.1314356435643564,3.04009900990099,0.3608910891089108,0.7705445544554456,0.7705445544554456,0.0,8.583415841584157,19.22004950495049,2.460891089108911,7.667574257425742,1.752970297029703,1.4636138613861387
23,2016-09-11,1617,Atalanta,Torino,H,2.6,3.2,2.8,-0.3333333333333333,0.6666666666666666,-1.0,-1.0,4.057673267326733,6.074009900990099,13.933415841584155,11.713366336633666,1.108910891089109,1.7195544554455444,0.2695544554455445,0.989108910891089,0.3294554455445544,0.0,9.742326732673268,15.460396039603962,2.198019801980198,5.178960396039604,1.9599009900990096,1.879455445544555,5.488118811881187,3.1292079207920795,14.094554455445545,12.156435643564354,1.5215346534653464,1.879455445544555,0.4900990099009901,0.3294554455445544,0.0,0.2695544554455445,15.489851485148511,11.38960396039604,5.980940594059407,5.956930693069307,1.870792079207921,2.6705445544554456
24,2016-09-11,1617,Bologna,Cagliari,H,2.1,3.25,3.75,-0.6666666666666666,-1.0,0.6666666666666666,0.6666666666666666,11.119601328903656,2.598006644518273,11.3421926910299,12.92358803986711,2.401993355481728,0.8671096345514949,0.0,0.5382059800664452,0.0,0.0,22.40199335548173,9.730897009966778,7.800664451827242,3.6578073089700993,1.67109634551495,1.9401993355481728,5.191584158415842,6.841584158415841,11.61138613861386,18.34727722772277,1.3009900990099008,1.7331683168316834,0.400990099009901,0.4410891089108911,0.1804455445544554,0.0,11.767821782178215,16.73539603960396,2.810891089108911,6.681930693069308,1.968564356435644,2.618811881188119
25,2016-09-11,1617,Chievo,Lazio,D,3.0,3.2,2.5,0.3333333333333333,0.0,0.0,0.0,5.318564356435642,7.407920792079208,13.956435643564356,10.287128712871286,1.3096534653465348,1.9715346534653464,0.5391089108910891,0.4900990099009901,0.0,0.0,11.604455445544556,20.22425742574257,4.487871287128712,6.312623762376238,1.8910891089108912,1.3586633663366336,5.879455445544554,1.7502475247524754,12.290346534653464,18.2470297029703,1.7106435643564355,0.8195544554455446,0.2695544554455445,0.8195544554455446,0.0,0.2695544554455445,15.036386138613858,8.569554455445545,5.842079207920792,1.5301980198019804,1.5500000000000005,1.879455445544555
26,2016-09-11,1617,Milan,Udinese,A,1.67,4.0,5.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,7.36980198019802,5.588118811881188,11.294554455445544,13.531683168316832,1.3806930693069306,1.0400990099009904,0.0,0.55,0.2205445544554455,0.0,17.74108910891089,9.742079207920792,5.022029702970297,2.699009900990099,2.249009900990099,3.358663366336634,4.534883720930232,3.59468438538206,12.644518272425248,10.956810631229237,0.5382059800664452,1.0,0.2691029900332226,0.3289036544850499,0.0,0.0,13.700996677740864,8.56810631229236,2.9401993355481726,2.8637873754152823,1.32890365448505,1.2093023255813953
27,2016-09-11,1617,Pescara,Inter,A,4.75,3.75,1.75,0.6666666666666666,-0.3333333333333333,1.0,1.0,3.539205113625223,7.047430442540343,12.572655438128663,10.674418148663747,0.8066312425246563,2.167369267269269,0.257289072763279,0.5493421697613772,0.5493421697613772,0.0,9.564224230897432,17.72151526440658,3.189800199996079,6.327640634497362,2.3980314111488013,1.617595733416992,5.608301798003961,5.181506244975588,13.876963196800062,13.268720221172137,0.8713554636183605,1.4933628752377404,0.679182761122331,0.5741456049881376,0.0,0.0,9.718829042567792,10.436952216623204,2.9478049450010784,3.868218270229996,2.467147702986216,2.4697554949902942
28,2016-09-11,1617,Roma,Sampdoria,H,1.33,5.25,9.0,1.6666666666666667,0.0,-0.6666666666666666,-0.6666666666666666,5.769847650046077,4.6073606399874505,15.994725593615811,14.467010450775478,1.0972726024979902,0.679182761122331,0.3635222838767867,0.0,0.0,0.1286445363816395,16.73304445010882,7.790043332483677,4.543695221662319,2.6696927511225272,1.980372933864042,1.9587066920256468,2.8928256308699827,6.9139820787827695,13.378384737554164,13.805160683123864,0.7905727338679635,2.374208348855905,0.1921727024960294,1.5663810513519345,0.2348777474951471,0.0,7.519715299700007,19.06017529068058,1.5670280974882844,7.424168153565616,2.258485127742593,1.6269877061234097
29,2016-09-12,1617,Empoli,Crotone,H,1.57,4.0,6.0,-0.6666666666666666,-1.3333333333333333,0.0,0.0,4.358663366336633,3.398762376237624,13.75,12.288861386138612,1.0198019801980198,1.3294554455445544,0.8393564356435643,0.55,0.0,0.0,14.128960396039602,8.051485148514852,3.61881188118812,2.908663366336633,1.2205445544554456,1.7992574257425742,8.414521283896393,5.488362973275034,12.609870394698143,14.303797964745788,1.0783906197917688,1.5094213838944337,0.3144644222662301,0.4157173388757083,0.0,0.4431089586478697,15.727554361679184,13.221309386090468,4.296778494539323,4.500480382737594,3.751004882257211,1.812807592008
30,2016-09-16,1617,Sampdoria,Milan,A,3.1,3.3,2.3,0.0,-0.3333333333333333,1.0,1.0,3.8452970297029703,6.209653465346534,13.00049504950495,15.948762376237624,0.9400990099009902,1.2029702970297032,0.2205445544554455,0.0,0.0,0.2695544554455445,10.725247524752474,16.47549504950495,3.808663366336634,5.842079207920792,1.6413366336633664,3.01980198019802,8.7740099009901,4.707178217821783,12.547277227722772,12.948762376237624,1.6106435643564356,0.5814356435643563,0.0,0.3608910891089108,0.6589108910891089,0.0,18.645544554455448,12.784653465346535,6.219059405940594,3.770544554455445,1.7794554455445544,2.289356435643564
31,2016-09-17,1617,Lazio,Pescara,H,1.5,4.33,6.5,0.25,-0.25,0.0,0.0,4.094900099998039,7.10793906001843,16.640477637693376,13.469324130899391,0.8415717338875709,1.5854787161036057,0.0,0.5741456049881376,0.0,0.2348777474951471,9.26364188937472,16.849277465147743,3.278112193878552,4.370228034744417,2.2273288759043943,2.482029764122272,4.655575380874884,4.123252485245388,12.146291249191192,11.522852493088372,1.6829670006470463,1.4792455049900983,0.5493421697613772,0.6364777161232134,0.4792455049900982,0.5219505499892159,13.7049273543656,12.683849336287524,5.900413717378092,4.860983117978079,1.723613262485049,1.157232211133115
